FID,FID_Divisi,Division,MaintCntyC,LocCntyCod,RouteClass,RouteNumbe,RouteQuali,RouteInven,Direction,TravelDire,RouteMaint,RouteName,StreetName,SrcDocType,SrcDocID,GeoDocType,GeoDocID,RouteID,MPLength,LaneMiles,BeginMp1,EndMp1,BeginFeatu,EndFeature,RouteID2,BeginMp2,EndMp2,RouteID3,BeginMp3,EndMp3,RouteID4,BeginMp4,EndMp4,RouteID5,BeginMp5,EndMp5,RouteID6,BeginMp6,EndMp6,AADT,AadtDate,AADTTruck,AadttMulti,AadttSingl,AccessCont,AddDate,AddDocID,AddDocType,BarePvmtRo,BaseDetail,BaseThickn,DesignSpd,FcltyType,FuncClass,FuncClassD,HOVLnCount,HOVType,ImprvDate,ImprvDocID,ImprvDocTy,ImprvType,LaneWidth,LftPvdShld,LftShldrTy,LftShldrWi,LftTrnLnTy,LftTrnLnWi,MaintOps,MedianType,MedianWidt,NHS,NHSDate,OwnerName,OwnerType,PeakLanes,PostedRout,ROW,RtPvdShldr,RtShldrTyp,RtShldrWid,RtTrnLnTyp,RtTrnLnWid,SampleID,SpeedLimit,MilitaryBa,STRAHNETDa,STRAHNETTy,SrfcDetail,SrfcThickn,SrfcType,SrfcWidth,TerrainTyp,ThruLaneCo,TollCharge,TollID,TollType,MunPopGrou,TownCode,TownName,TrkRoute,TrkRouteDa,UrbanType,UrbanID,UrbanPop,Shape_Leng,FID_NC_N_s,Id,gridcode,Shape_Le_1,Shape_Area
0,134549,1,015,015,3,343,0,0,BD,Both,System,NC-343,South 343,N, ,N, ,30000343015,2.000000000000000,4.000000000000000,1.810000000000000,3.810000000000000,80003988015,40001114015, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,750,2020,63,6,57, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,68, ,5,,0, ,12/31/1974 0:00:00, , ,RS,0,0,Grass,6, ,0,0, ,0,0,, ,0,0, ,100,0,Grass,6, ,0,0,55,0,,0, ,0.000000000000000,AC_AC,18,1,2, ,0, ,0, , ,0,, ,0,0,10571.457701999999699,46385,46385,9,131.805004634999989,0.262559669123000
1,9,1,028,028,2,158,0,0,EB,One-way,System,US-158,Wright Memorial Bridge,N, ,A,2012,20000158028,1.277540000000000,2.555080000000000,0.000000000000000,1.277540000000000,BC000027,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,16000,2020,1340,380,960, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1997 0:00:00, , ,RS,0,0,Curb-Con,0, ,0,0, ,0,1,, ,0,0, ,180,0,Curb-Con,0, ,0,0,55,0,,0, ,0.000000000000000,AC_AC,28,1,2, ,0, ,0, , ,0,,Urban Cluster,44965,3,6745.685407590000068,46385,46385,9,131.805004634999989,0.262559669123000
2,16,1,027,027,3,12,0,0,BD,Both,System,NC-12,Ocean Trl,N, ,N, ,30000012027,0.000378000000000,0.000756000000000,0.000000000000000,0.000378000000000,BC000028,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,5200,2020,247,47,200, ,12/31/1984 0:00:00, , ,Y, ,0.000000000000000,66, ,5,,0, ,12/31/2004 0:00:00, , ,RS,0,4,Bitum,8, ,0,0, ,0,0,, ,0,0, ,60,4,Bitum,8, ,0,0,45,0,,0, ,0.000000000000000,Bitum,26,1,2, ,0, ,1,0157,Duck,0,, ,0,0,1.995975834250000,46385,46385,9,131.805004634999989,0.262559669123000
3,42,1,015,015,3,34,0,0,BD,Both,System,NC-34,Highway 34,T,R-2414B,A,2016,30000034015,0.019952000000000,0.039904000000000,0.000000000000000,0.019952000000000,20000158015,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,5300,2020,540,160,380, ,, , ,Y, ,0.000000000000000,0, ,5,,0, ,5/1/2015 0:00:00,R-2414B,TIP,NL,12,0,Curb-Con,0,Single,11,0,Striped,5,0,, ,0,0, ,70,0,Curb-Con,0, ,0,0,55,0,,0,S9.5B,3.000000000000000,Bitum,40,1,2, ,0, ,0, , ,0,, ,0,0,105.340600570999996,46385,46385,9,131.805004634999989,0.262559669123000
4,74,1,070,070,2,158,0,6,WB,One-way,System,US-158,Camden Causeway,N, ,A,2012,20600158070,0.001427000000000,0.002854000000000,0.000000000000000,0.001427000000000,BC000015,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,0, ,4,,0, ,12/31/1973 0:00:00, , , ,0,0, ,0,Single,13,0, ,0,0,, ,0,0, ,30,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Bitum,32,1,2, ,0, ,0, , ,0,,Urban Cluster,26686,3,7.521582252420000,46385,46385,9,131.805004634999989,0.262559669123000
5,92,1,072,072,2,17,0,4,SB,One-way,System,US-17,Ocean Hwy N,N, ,N, ,20400017072,1.030241000000000,2.060482000000000,0.000000000000000,1.030241000000000,BC000070,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , ,Partial,12/31/1972 0:00:00, , ,Y, ,0.000000000000000,70, ,3,,0, ,12/31/2004 0:00:00, , ,RS,0,0, ,0, ,0,0,Grass,24,11,, ,0,0, ,130,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,5,1/6/1983 0:00:00, ,0,0,5440.962559780000447,46385,46385,9,131.805004634999989,0.262559669123000
6,114,1,027,027,2,158,0,0,BD,Both,System,US-158,Shortcut Rd,N, ,N, ,20000158027,0.103581000000000,0.207162000000000,0.000000000000000,0.103581000000000,BC000015,50099166027, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,8200,2020,760,320,440, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1972 0:00:00, , ,RS,0,0,Grass,10, ,0,0, ,0,1,, ,0,0, ,100,0,Grass,10, ,0,0,55,0,,0, ,0.000000000000000,Bitum,20,1,2, ,0, ,0, , ,0,, ,0,0,547.176022568999997,46385,46385,9,131.805004634999989,0.262559669123000
7,117,1,037,037,3,32,0,0,BD,Both,System,NC-32,NC 32 S,T,B-5507,N, ,30000032037,0.006383000000000,0.012766000000000,0.000000000000000,0.006383000000000,BC000021,Pseudo,30000037037,0.000000000000000,0.006383000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,2300,2020,440,250,190, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,55, ,4,,0, ,4/30/2021 0:00:00,B-5507,TIP,BR,10,6,Bitum,6, ,0,0, ,0,0,, ,0,0, ,125,6,Bitum,6, ,0,102801,55,0,,0,S9.5B,3.000000000000000,Bitum,32,1,2, ,0, ,0, , ,0,, ,0,0,33.844573480299999,46385,46385,9,131.805004634999989,0.262559669123000
8,119,1,015,015,2,17,0,0,NB,One-way,System,US-17,US 17,N, ,N, ,20000017015,0.340353000000000,0.680706000000000,0.000000000000000,0.340353000000000,BC000070,40001251015, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,11500,2020,1160,560,600,Partial,12/31/1984 0:00:00, , ,Y, ,0.000000000000000,70, ,3,,0, ,12/31/2004 0:00:00, , ,RS,0,2,Bitum,12, ,0,0,Grass,32,11,, ,0,0, ,180,2,Bitum,12, ,0,0,60,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,5,1/6/1983 0:00:00, ,0,0,1779.991665929999954,46385,46385,9,131.805004634999989,0.262559669123000
9,129,1,070,070,2,17,0,0,NB,One-way,System,US-17,US 17,N, ,A,2012,20000017070,0.047954000000000,0.095908000000000,0.000000000000000,0.047954000000000,BC000072,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,16500,2020,2070,870,1200,Partial,12/31/1972 0:00:00, , ,Y, ,0.000000000000000,69, ,3,,0, ,12/31/2006 0:00:00, , ,RE,0,4,Bitum,30, ,0,0,SRPB,22,11,, ,0,0, ,140,2,Bitum,24, ,0,0,55,0,,0, ,0.000000000000000,Bitum,29,1,2, ,0, ,0, , ,5,1/6/1983 0:00:00, ,0,0,253.387069870000005,46385,46385,9,131.805004634999989,0.262559669123000
