FID,FID_Divisi,Division,MaintCntyC,LocCntyCod,RouteClass,RouteNumbe,RouteQuali,RouteInven,Direction,TravelDire,RouteMaint,RouteName,StreetName,SrcDocType,SrcDocID,GeoDocType,GeoDocID,RouteID,MPLength,LaneMiles,BeginMp1,EndMp1,BeginFeatu,EndFeature,RouteID2,BeginMp2,EndMp2,RouteID3,BeginMp3,EndMp3,RouteID4,BeginMp4,EndMp4,RouteID5,BeginMp5,EndMp5,RouteID6,BeginMp6,EndMp6,AADT,AadtDate,AADTTruck,AadttMulti,AadttSingl,AccessCont,AddDate,AddDocID,AddDocType,BarePvmtRo,BaseDetail,BaseThickn,DesignSpd,FcltyType,FuncClass,FuncClassD,HOVLnCount,HOVType,ImprvDate,ImprvDocID,ImprvDocTy,ImprvType,LaneWidth,LftPvdShld,LftShldrTy,LftShldrWi,LftTrnLnTy,LftTrnLnWi,MaintOps,MedianType,MedianWidt,NHS,NHSDate,OwnerName,OwnerType,PeakLanes,PostedRout,ROW,RtPvdShldr,RtShldrTyp,RtShldrWid,RtTrnLnTyp,RtTrnLnWid,SampleID,SpeedLimit,MilitaryBa,STRAHNETDa,STRAHNETTy,SrfcDetail,SrfcThickn,SrfcType,SrfcWidth,TerrainTyp,ThruLaneCo,TollCharge,TollID,TollType,MunPopGrou,TownCode,TownName,TrkRoute,TrkRouteDa,UrbanType,UrbanID,UrbanPop,Shape_Leng,FID_NC_S1_,Id,gridcode,Shape_Le_1,Shape_Area
0,155377,3,065,065,5,93133,0,0,BD,Both,Non-System,NS-93133,North Bend Rd, , ,A,2016,50093133065,0.088341000000000,0.088341000000000,0.000000000000000,0.088341000000000,50099652065,50092984065, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000, ,0,1,0, ,0, ,0, , ,0,,Urbanized Area,95833,7,466.431499945999974,2814,2814,402,66.865110026599993,0.155582725578000
1,40,3,065,065,2,74,0,0,EB,One-way,System,US-74,Hwy 133/US 421 Hwy NE,T,R-3601, , ,20000074065,0.008743000000000,0.017486000000000,0.000000000000000,0.008743000000000,BC000010,40001352065,20000421065,21.920732999999998,21.929476000000001,30000133065,0.000000000000000,0.008743000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,30500,2020,2910,1400,1510,Full,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,3,,0, ,12/31/1999 0:00:00, , ,RS,0,9,Bitum,14, ,0,0, ,0,1,, ,0,0, ,260,9,Bitum,14, ,0,0,55,0,,1, ,0.000000000000000,Bitum,72,1,2, ,0, ,0, , ,5,1/1/1911 0:00:00,Urbanized Area,95833,7,47.452852369799999,2814,2814,402,66.865110026599993,0.155582725578000
2,42,3,010,010,1,140,0,6,WB,One-way,System,I-140, ,O,HTO_010_08-18,O,DGN,10600140010,0.004166000000000,0.008332000000000,0.000000000000000,0.004166000000000,BC000065,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , ,Full,, , ,Y, ,0.000000000000000,0, ,1,,0, ,, , , ,0,0, ,0, ,0,0,Grass,22,1,, ,0,0, ,0,0, ,0, ,0,0,55,0,,0,S9.5C,3.000000000000000,Bitum,0,1,2, ,0, ,0, , ,5,1/6/1983 0:00:00,Urbanized Area,95833,7,21.995833139700000,2814,2814,402,66.865110026599993,0.155582725578000
3,47,3,010,010,3,211,0,0,BD,Both,System,NC-211,Ferry Rd, , , , ,30000211010,0.083000000000000,0.166000000000000,0.000000000000000,0.083000000000000,DEAD-END,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,2800,2020,115,26,89, ,, , , , ,0.000000000000000,0, ,4,,0, ,, , , ,0,0, ,0, ,0,0, ,0,9,, ,0,0, ,0,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Bitum,37,1,2, ,0, ,0, , ,0,, ,0,0,437.784278144999973,2814,2814,402,66.865110026599993,0.155582725578000
4,100,3,071,071,1,40,0,6,WB,One-way,System,I-40,I 40,N, ,A,2010,10600040071,0.067089000000000,0.134178000000000,0.000000000000000,0.067089000000000,BC000065,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , ,Full,12/31/1985 0:00:00, , ,Y, ,0.000000000000000,70, ,1,,0, ,12/31/1986 0:00:00, , ,RS,0,0, ,0, ,0,0,Grass,23,1,, ,0,0, ,160,0, ,0, ,0,0,55,0,,1, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,5,1/6/1983 0:00:00,Urbanized Area,95833,7,353.845813710000016,2814,2814,402,66.865110026599993,0.155582725578000
5,121,3,071,071,2,117,0,0,BD,Both,System,US-117,US Hwy 117 S,N, ,N, ,20000117071,0.008957000000000,0.017914000000000,0.000000000000000,0.008957000000000,BC000065,Pseudo,30000133071,0.000000000000000,0.008957000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,14000,2020,1150,350,800, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,5,,0, ,12/31/1990 0:00:00, , ,RS,0,0,Grass,10, ,0,0, ,0,0,, ,0,0, ,200,0,Grass,10, ,0,0,55,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,,Urbanized Area,95833,7,47.285544211800001,2814,2814,402,66.865110026599993,0.155582725578000
6,125,3,065,065,2,421,8,0,BD,Both,System,US-421 TRK,S Front St,O,HTO2008036401,A,2006,28000421065,0.237446000000000,0.474892000000000,0.000000000000000,0.237446000000000,20000421065,50093256065, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,17500,2020,2450,1600,850, ,12/31/1930 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1983 0:00:00, , ,RS,0,0,Grass,8,Multiple,12,0, ,0,1,, ,0,0, ,50,0,Grass,8,Single,12,0,35,0,,2, ,0.000000000000000,Bitum,38,1,2, ,0, ,8,0332,Wilmington,0,,Urbanized Area,95833,7,1253.663660899999968,2814,2814,402,66.865110026599993,0.155582725578000
7,133,3,071,071,3,11,0,0,BD,Both,System,NC-11,NC Hwy 53 W,T,B-2919,A,2012,30000011071,0.140552000000000,0.281104000000000,0.000000000000000,0.140552000000000,BC000009,Pseudo,30000053071,37.204523000000002,37.063971000000002, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,2100,2020,630,500,130, ,, , ,Y, ,0.000000000000000,0, ,5,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Bitum,0,1,2, ,0, ,0, , ,0,, ,0,0,742.025174848999995,2814,2814,402,66.865110026599993,0.155582725578000
8,141,3,065,065,2,421,0,0,BD,Both,System,US-421,Private,N, , , ,20000421065,0.084083000000000,0.168166000000000,0.000000000000000,0.084083000000000,DEAD-END,50095951065, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,950,2020,37,9,28, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,3,,0, ,12/31/1975 0:00:00, , ,RS,0,3,Bitum,10, ,0,0, ,0,9,, ,0,1, ,60,3,Bitum,10, ,0,100685,35,0,,0, ,0.000000000000000,Bitum,20,1,2, ,0, ,0, , ,0,,Urbanized Area,95833,7,443.839487675999976,2814,2814,402,66.865110026599993,0.155582725578000
9,142,3,071,071,3,210,0,0,BD,Both,System,NC-210,N New River Dr,N, , , ,30000210071,0.052216000000000,0.104432000000000,0.000000000000000,0.052216000000000,BC000067,50098935071, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,6900,2020,378,48,330, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,0, ,5,,0, ,12/31/1978 0:00:00, , ,RS,0,0,Grass,6, ,0,0, ,0,0,, ,0,0, ,60,0,Grass,6, ,0,0,35,0,,0, ,0.000000000000000,Bitum,21,1,2, ,0, ,3,0334,Surf City,0,, ,0,0,275.656587906000027,2814,2814,402,66.865110026599993,0.155582725578000
