FID,FID_Divisi,Division,MaintCntyC,LocCntyCod,RouteClass,RouteNumbe,RouteQuali,RouteInven,Direction,TravelDire,RouteMaint,RouteName,StreetName,SrcDocType,SrcDocID,GeoDocType,GeoDocID,RouteID,MPLength,LaneMiles,BeginMp1,EndMp1,BeginFeatu,EndFeature,RouteID2,BeginMp2,EndMp2,RouteID3,BeginMp3,EndMp3,RouteID4,BeginMp4,EndMp4,RouteID5,BeginMp5,EndMp5,RouteID6,BeginMp6,EndMp6,AADT,AadtDate,AADTTruck,AadttMulti,AadttSingl,AccessCont,AddDate,AddDocID,AddDocType,BarePvmtRo,BaseDetail,BaseThickn,DesignSpd,FcltyType,FuncClass,FuncClassD,HOVLnCount,HOVType,ImprvDate,ImprvDocID,ImprvDocTy,ImprvType,LaneWidth,LftPvdShld,LftShldrTy,LftShldrWi,LftTrnLnTy,LftTrnLnWi,MaintOps,MedianType,MedianWidt,NHS,NHSDate,OwnerName,OwnerType,PeakLanes,PostedRout,ROW,RtPvdShldr,RtShldrTyp,RtShldrWid,RtTrnLnTyp,RtTrnLnWid,SampleID,SpeedLimit,MilitaryBa,STRAHNETDa,STRAHNETTy,SrfcDetail,SrfcThickn,SrfcType,SrfcWidth,TerrainTyp,ThruLaneCo,TollCharge,TollID,TollType,MunPopGrou,TownCode,TownName,TrkRoute,TrkRouteDa,UrbanType,UrbanID,UrbanPop,Shape_Leng,FID_NC_N_s,Id,gridcode,Shape_Le_1,Shape_Area
0,4914,1,070,070,5,99163,0,0,BD,Both,Non-System,NS-99163,Wilsons Crk, , , , ,50099163070,0.063643000000000,0.063643000000000,0.000000000000000,0.063643000000000,DEAD-END,30000344070, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0,Miscellaneous,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,0,0,,0, ,0.000000000000000, ,0,1,0, ,0, ,0, , ,0,, ,0,0,336.024322251000001,26885,26885,17,97.239952526300002,0.199986050541000
1,9,1,028,028,2,158,0,0,EB,One-way,System,US-158,Wright Memorial Bridge,N, ,A,2012,20000158028,1.277540000000000,2.555080000000000,0.000000000000000,1.277540000000000,BC000027,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,16000,2020,1340,380,960, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1997 0:00:00, , ,RS,0,0,Curb-Con,0, ,0,0, ,0,1,, ,0,0, ,180,0,Curb-Con,0, ,0,0,55,0,,0, ,0.000000000000000,AC_AC,28,1,2, ,0, ,0, , ,0,,Urban Cluster,44965,3,6745.685407590000068,26885,26885,17,97.239952526300002,0.199986050541000
2,74,1,070,070,2,158,0,6,WB,One-way,System,US-158,Camden Causeway,N, ,A,2012,20600158070,0.001427000000000,0.002854000000000,0.000000000000000,0.001427000000000,BC000015,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,0, ,4,,0, ,12/31/1973 0:00:00, , , ,0,0, ,0,Single,13,0, ,0,0,, ,0,0, ,30,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Bitum,32,1,2, ,0, ,0, , ,0,,Urban Cluster,26686,3,7.521582252420000,26885,26885,17,97.239952526300002,0.199986050541000
3,92,1,072,072,2,17,0,4,SB,One-way,System,US-17,Ocean Hwy N,N, ,N, ,20400017072,1.030241000000000,2.060482000000000,0.000000000000000,1.030241000000000,BC000070,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , ,Partial,12/31/1972 0:00:00, , ,Y, ,0.000000000000000,70, ,3,,0, ,12/31/2004 0:00:00, , ,RS,0,0, ,0, ,0,0,Grass,24,11,, ,0,0, ,130,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,5,1/6/1983 0:00:00, ,0,0,5440.962559780000447,26885,26885,17,97.239952526300002,0.199986050541000
4,114,1,027,027,2,158,0,0,BD,Both,System,US-158,Shortcut Rd,N, ,N, ,20000158027,0.103581000000000,0.207162000000000,0.000000000000000,0.103581000000000,BC000015,50099166027, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,8200,2020,760,320,440, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1972 0:00:00, , ,RS,0,0,Grass,10, ,0,0, ,0,1,, ,0,0, ,100,0,Grass,10, ,0,0,55,0,,0, ,0.000000000000000,Bitum,20,1,2, ,0, ,0, , ,0,, ,0,0,547.176022568999997,26885,26885,17,97.239952526300002,0.199986050541000
5,119,1,015,015,2,17,0,0,NB,One-way,System,US-17,US 17,N, ,N, ,20000017015,0.340353000000000,0.680706000000000,0.000000000000000,0.340353000000000,BC000070,40001251015, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,11500,2020,1160,560,600,Partial,12/31/1984 0:00:00, , ,Y, ,0.000000000000000,70, ,3,,0, ,12/31/2004 0:00:00, , ,RS,0,2,Bitum,12, ,0,0,Grass,32,11,, ,0,0, ,180,2,Bitum,12, ,0,0,60,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,5,1/6/1983 0:00:00, ,0,0,1779.991665929999954,26885,26885,17,97.239952526300002,0.199986050541000
6,129,1,070,070,2,17,0,0,NB,One-way,System,US-17,US 17,N, ,A,2012,20000017070,0.047954000000000,0.095908000000000,0.000000000000000,0.047954000000000,BC000072,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,16500,2020,2070,870,1200,Partial,12/31/1972 0:00:00, , ,Y, ,0.000000000000000,69, ,3,,0, ,12/31/2006 0:00:00, , ,RE,0,4,Bitum,30, ,0,0,SRPB,22,11,, ,0,0, ,140,2,Bitum,24, ,0,0,55,0,,0, ,0.000000000000000,Bitum,29,1,2, ,0, ,0, , ,5,1/6/1983 0:00:00, ,0,0,253.387069870000005,26885,26885,17,97.239952526300002,0.199986050541000
7,152,1,037,037,2,13,0,0,NB,One-way,System,US-13, ,T,R-2507A,A,2016,20000013037,0.120428000000000,0.240856000000000,0.000000000000000,0.120428000000000,BC000046,Pseudo,20000158037,0.000000000000000,0.120428000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,7300,2020,1620,1200,420,Partial,12/5/2014 0:00:00,R-2507A,Petition,Y, ,0.000000000000000,60, ,3,,0, ,12/5/2014 0:00:00,R-2507A,TIP,MA,12,4,Bitum,4, ,0,0,RPB,14,0,, ,0,0, ,160,6,Bitum,6, ,0,0,60,0,,0,S9.5C,3.000000000000000,Bitum,34,1,2, ,0, ,0, , ,0,, ,0,0,634.629042946000027,26885,26885,17,97.239952526300002,0.199986050541000
8,161,1,070,070,2,17,0,4,SB,One-way,System,US-17,US 17 North,N, ,A,2012,20400017070,0.508566000000000,1.017132000000000,0.000000000000000,0.508566000000000,BC000015,20000158070, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , ,Partial,12/31/1984 0:00:00, , ,Y, ,0.000000000000000,69, ,3,,0, ,12/31/2004 0:00:00, , ,RS,0,0, ,0, ,0,0,Grass,21,11,, ,0,0, ,180,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,5,1/6/1983 0:00:00, ,0,0,2686.335564940000040,26885,26885,17,97.239952526300002,0.199986050541000
9,192,1,021,021,2,17,0,0,NB,One-way,System,US-17,Ocean Hwy,N, ,A,2009,20000017021,0.714553000000000,1.429106000000000,0.000000000000000,0.714553000000000,BC000008,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,8900,2020,1860,880,980,Full,12/31/2000 0:00:00, , ,Y, ,0.000000000000000,70, ,3,,0, ,12/31/2000 0:00:00, , ,NL,0,0,Curb-Con,0, ,0,0, ,0,11,, ,0,0, ,30,0,Curb-Con,0, ,0,0,70,0,,0, ,0.000000000000000,Bitum,30,1,2, ,0, ,0, , ,5,1/6/1983 0:00:00, ,0,0,3774.910811119999835,26885,26885,17,97.239952526300002,0.199986050541000
