FID,FID_Divisi,Division,MaintCntyC,LocCntyCod,RouteClass,RouteNumbe,RouteQuali,RouteInven,Direction,TravelDire,RouteMaint,RouteName,StreetName,SrcDocType,SrcDocID,GeoDocType,GeoDocID,RouteID,MPLength,LaneMiles,BeginMp1,EndMp1,BeginFeatu,EndFeature,RouteID2,BeginMp2,EndMp2,RouteID3,BeginMp3,EndMp3,RouteID4,BeginMp4,EndMp4,RouteID5,BeginMp5,EndMp5,RouteID6,BeginMp6,EndMp6,AADT,AadtDate,AADTTruck,AadttMulti,AadttSingl,AccessCont,AddDate,AddDocID,AddDocType,BarePvmtRo,BaseDetail,BaseThickn,DesignSpd,FcltyType,FuncClass,FuncClassD,HOVLnCount,HOVType,ImprvDate,ImprvDocID,ImprvDocTy,ImprvType,LaneWidth,LftPvdShld,LftShldrTy,LftShldrWi,LftTrnLnTy,LftTrnLnWi,MaintOps,MedianType,MedianWidt,NHS,NHSDate,OwnerName,OwnerType,PeakLanes,PostedRout,ROW,RtPvdShldr,RtShldrTyp,RtShldrWid,RtTrnLnTyp,RtTrnLnWid,SampleID,SpeedLimit,MilitaryBa,STRAHNETDa,STRAHNETTy,SrfcDetail,SrfcThickn,SrfcType,SrfcWidth,TerrainTyp,ThruLaneCo,TollCharge,TollID,TollType,MunPopGrou,TownCode,TownName,TrkRoute,TrkRouteDa,UrbanType,UrbanID,UrbanPop,Shape_Leng,FID_NC_M2_,Id,gridcode,Shape_Le_1,Shape_Area
0,21642,1,028,028,6,98007,0,0,BD,Both,Non-System,SA-98007,Panther Rd, , , , ,60098007028,0.714760000000000,1.429520000000000,0.000000000000000,0.714760000000000,60098008028,60098006028, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,,Dare County Air Force Range,72,0, ,0,0, ,0, ,0,0,55,0,,0, ,0.000000000000000, ,0,1,2, ,0, ,0, , ,0,, ,0,0,3773.914794499999971,30886,30886,1,189.529020027000001,0.692616464252000
1,90878,1,048,048,4,1117,0,0,BD,Both,System,SR-1117,Gull Rock Rd,N, ,N, ,40001117048,2.205000000000000,4.410000000000000,1.200000000000000,3.405000000000000,Pseudo,40001118048, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,150,2020,0,0,0, ,12/31/1930 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0,Grass,6, ,0,0, ,0,0,, ,0,0, ,0,0,Grass,6, ,0,0,55,0,,0, ,0.000000000000000,Bitum,16,1,2, ,0, ,0, , ,0,, ,0,0,11642.863972200000717,30886,30886,1,189.529020027000001,0.692616464252000
2,111691,1,028,028,6,98034,0,0,BD,Both,Non-System,SA-98034,Jackson Rd, , , , ,60098034028,2.467516000000000,4.935032000000000,4.350418000000000,6.817934000000000,60098033028,60098037028, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, , , , , , ,, , , , ,0.000000000000000,0, ,7,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,,Dare County Air Force Range,72,0, ,0,0, ,0, ,0,0,55,0,,0, ,0.000000000000000, ,0,1,2, ,0, ,0, , ,0,, ,0,0,13028.483107000000018,30886,30886,1,189.529020027000001,0.692616464252000
3,140914,1,048,048,2,264,0,0,BD,Both,System,US-264,US 264 Hwy,N, ,N, ,20000264048,1.823637000000000,3.647274000000000,32.314003000000000,34.137639999999998,50099917048,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,1100,2020,123,25,98, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,68, ,4,,0, ,12/31/1986 0:00:00, , ,MI,0,0,Grass,6, ,0,0, ,0,0,, ,0,0, ,60,0,Grass,5, ,0,0,55,0,,0, ,0.000000000000000,Bitum,24,1,2, ,0, ,0, , ,0,, ,0,0,9627.679664470000716,30886,30886,1,189.529020027000001,0.692616464252000
4,5,1,028,028,2,158,0,0,EB,One-way,System,US-158,Wright Memorial Bridge,N, ,A,2012,20000158028,1.277540000000000,2.555080000000000,0.000000000000000,1.277540000000000,BC000027,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,16000,2020,1340,380,960, ,12/31/1901 0:00:00, , ,Y, ,0.000000000000000,70, ,4,,0, ,12/31/1997 0:00:00, , ,RS,0,0,Curb-Con,0, ,0,0, ,0,1,, ,0,0, ,180,0,Curb-Con,0, ,0,0,55,0,,0, ,0.000000000000000,AC_AC,28,1,2, ,0, ,0, , ,0,,Urban Cluster,44965,3,6745.685407590000068,30886,30886,1,189.529020027000001,0.692616464252000
5,48,1,028,028,3,12,0,0,BD,Both,System,NC-12, , , , , ,30000012028,0.112170000000000,0.224340000000000,0.000000000000000,0.112170000000000,DEAD-END,50099411028, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,2100,2020,163,23,140, ,, , , , ,0.000000000000000,0, ,5,,0, ,, , , ,0,0, ,0, ,0,0, ,0,0,, ,0,0, ,0,0, ,0, ,0,0,25,0,,0, ,3.000000000000000,AC_AC,0,1,2, ,0, ,0, , ,0,, ,0,0,592.316783163999958,30886,30886,1,189.529020027000001,0.692616464252000
6,108,1,028,028,2,64,2,0,BD,Both,System,US-64 BYP,Virginia Dare Memorial Bridge,N, ,A,2012,22000064028,0.059231000000000,0.236924000000000,0.000000000000000,0.059231000000000,20000064028,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,5100,2020,470,140,330,Partial,12/31/2003 0:00:00, , ,Y, ,0.000000000000000,65, ,3,,0, ,12/31/2003 0:00:00, , ,NL,0,4,Bitum,10, ,0,0, ,0,1,, ,0,0, ,160,4,Bitum,10, ,0,0,60,0,,0, ,0.000000000000000,Bitum,60,1,4, ,0, ,0, , ,0,,Urban Cluster,54199,3,311.519915685000001,30886,30886,1,189.529020027000001,0.692616464252000
7,109,1,048,048,3,94,0,0,BD,Both,System,NC-94,Main St,N, ,N, ,30000094048,0.040000000000000,0.080000000000000,0.000000000000000,0.040000000000000,30000045048,40001134048, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,600,2020,64,13,51, ,12/31/1930 0:00:00, , ,Y, ,0.000000000000000,0, ,6,,0, ,12/31/1971 0:00:00, , ,RS,0,0,Grass,5, ,0,0, ,0,0,, ,0,0, ,60,0,Grass,5, ,0,0,20,0,,0, ,0.000000000000000,AC_AC,20,1,2, ,0, ,0, , ,0,, ,0,0,226.803756380000010,30886,30886,1,189.529020027000001,0.692616464252000
8,153,1,048,048,3,12,0,0,BD,Both,System,NC-12, , , , , ,30000012048,0.029000000000000,0.058000000000000,0.000000000000000,0.029000000000000,30000045048,Pseudo, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,1100,2020,42,7,35, ,, , , , ,0.000000000000000,0, ,5,,0, ,1/1/1911 0:00:00, , , ,0,0, ,0, ,0,0, ,0,9,, ,0,0, ,0,0, ,0, ,0,0,55,0,,0, ,0.000000000000000,Bitum,0,1,2, ,0, ,0, , ,0,, ,0,0,152.752191661000012,30886,30886,1,189.529020027000001,0.692616464252000
9,166,1,048,048,4,1100,0,0,BD,Both,System,SR-1100,Hill St,N, ,N, ,40001100048,0.247713000000000,0.495426000000000,0.000000000000000,0.247713000000000,20000264048,50099978048, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.000000000000000,0.000000000000000,300,2020,0,0,0, ,12/31/1950 0:00:00, , , , ,0.000000000000000,0, ,7,,0, ,12/31/1990 0:00:00, , ,RS,0,0,Grass,3, ,0,0, ,0,0,, ,0,0, ,60,0,Grass,3, ,0,0,55,0,,0, ,0.000000000000000,Bitum,16,1,2, ,0, ,0, , ,0,, ,0,0,1285.427154389999941,30886,30886,1,189.529020027000001,0.692616464252000
